ACL/*/read,ACL/as6iic7p4c/read,ACL/as6iic7p4c/write,DataRate,DeviceDistance,DownloadTime,EndTime,FileSize,StartTime,createdAt,objectId,updatedAt
TRUE,TRUE,TRUE,924.0399888,15,21.406,1.43674E+12,19780,1.43674E+12,2015-07-12T23:25:40.308Z,9ErvxbssqI,2015-07-12T23:25:49.413Z
TRUE,TRUE,TRUE,8325.027359,10,11.879,1.43674E+12,98893,1.43674E+12,2015-07-12T23:47:28.354Z,9bO3bY2hCH,2015-07-12T23:47:39.783Z
TRUE,TRUE,TRUE,1467.35905,1,13.48,1.43674E+12,19780,1.43674E+12,2015-07-12T22:58:58.719Z,9pAY5YJYho,2015-07-12T22:59:12.594Z
TRUE,TRUE,TRUE,41154.11615,15,12.536,1.43675E+12,515908,1.43675E+12,2015-07-13T00:23:40.678Z,9zzu3xy6Lb,2015-07-13T00:23:46.806Z
TRUE,TRUE,TRUE,1536.191364,8,12.876,1.43674E+12,19780,1.43674E+12,2015-07-12T23:18:31.586Z,AAXAdCxOYN,2015-07-12T23:18:36.954Z
TRUE,TRUE,TRUE,1817.847624,20,10.881,1.43674E+12,19780,1.43674E+12,2015-07-12T23:32:00.445Z,BPJ2paPGUe,2015-07-12T23:32:06.221Z
TRUE,TRUE,TRUE,0.004446334,1,5397.705,1.43676E+12,24,1.43676E+12,2015-07-13T02:47:44.887Z,BTmwxazCTR,2015-07-13T04:17:21.272Z
TRUE,TRUE,TRUE,33979.31898,15,15.183,1.43675E+12,515908,1.43675E+12,2015-07-13T00:25:10.385Z,BVlfrJyeiz,2015-07-13T00:25:19.909Z
TRUE,TRUE,TRUE,1132.291488,15,17.469,1.43674E+12,19780,1.43674E+12,2015-07-12T23:27:59.931Z,BWE7Qaevu7,2015-07-12T23:28:08.357Z
TRUE,TRUE,TRUE,3103.206979,15,31.868,1.43675E+12,98893,1.43675E+12,2015-07-12T23:51:45.471Z,BYWtJoJMAc,2015-07-12T23:51:52.854Z
TRUE,TRUE,TRUE,45394.45667,5,11.365,1.43675E+12,515908,1.43675E+12,2015-07-13T00:11:28.071Z,Ba1GyrfELp,2015-07-13T00:11:36.608Z
TRUE,TRUE,TRUE,6251.532967,10,15.819,1.43674E+12,98893,1.43674E+12,2015-07-12T23:48:32.664Z,BlIKaKegD1,2015-07-12T23:48:38.395Z
TRUE,TRUE,TRUE,4957.539603,15,19.948,1.43675E+12,98893,1.43675E+12,2015-07-12T23:50:52.355Z,Bz2PLZHL5C,2015-07-12T23:51:00.127Z
TRUE,TRUE,TRUE,8968.259726,3,11.027,1.43674E+12,98893,1.43674E+12,2015-07-12T23:38:54.941Z,CKh8T0oaj9,2015-07-12T23:39:01.074Z
TRUE,TRUE,TRUE,645.7510365,20,30.631,1.43674E+12,19780,1.43674E+12,2015-07-12T23:30:33.801Z,CWKb8pTvkU,2015-07-12T23:30:41.843Z
TRUE,TRUE,TRUE,26903.83813,3,19.176,1.43675E+12,515908,1.43675E+12,2015-07-13T00:09:08.118Z,Ci74w1U38V,2015-07-13T00:09:15.980Z
TRUE,TRUE,TRUE,1501.214329,10,13.176,1.43674E+12,19780,1.43674E+12,2015-07-12T23:22:19.805Z,CkZqKQEoxg,2015-07-12T23:22:25.050Z
TRUE,TRUE,TRUE,1733.870968,5,11.408,1.43674E+12,19780,1.43674E+12,2015-07-12T23:15:02.715Z,CmpfU316Vl,2015-07-12T23:15:09.531Z
TRUE,TRUE,TRUE,1285.584297,1,15.386,1.43674E+12,19780,1.43674E+12,2015-07-12T22:57:52.190Z,Coyv7aBcPj,2015-07-12T22:58:00.601Z
TRUE,TRUE,TRUE,32992.77355,8,15.637,1.43675E+12,515908,1.43675E+12,2015-07-13T00:16:54.055Z,D41cYQJDdx,2015-07-13T00:17:06.387Z
TRUE,TRUE,TRUE,5881.586773,1,16.814,1.43681E+12,98893,1.43681E+12,2015-07-13T16:33:16.675Z,D7S7SYJT5N,2015-07-13T16:33:26.118Z
TRUE,TRUE,TRUE,1284.498993,3,15.399,1.43674E+12,19780,1.43674E+12,2015-07-12T23:05:14.831Z,DczToRpG7E,2015-07-12T23:05:28.424Z
TRUE,TRUE,TRUE,13850.25101,14,37.249,1.43675E+12,515908,1.43675E+12,2015-07-13T00:33:33.842Z,DmHEJwdcRX,2015-07-13T00:34:08.437Z
TRUE,TRUE,TRUE,41381.88818,10,12.467,1.43675E+12,515908,1.43675E+12,2015-07-13T00:18:15.033Z,DoePLKQ2iw,2015-07-13T00:18:21.618Z
TRUE,TRUE,TRUE,1119.284744,8,17.672,1.43674E+12,19780,1.43674E+12,2015-07-12T23:19:42.702Z,ERZX4o1523,2015-07-12T23:19:48.244Z
TRUE,TRUE,TRUE,48905.86785,5,10.549,1.43675E+12,515908,1.43675E+12,2015-07-13T00:12:44.027Z,EaNnhWp8JJ,2015-07-13T00:12:52.241Z
TRUE,TRUE,TRUE,2628.874475,15,37.618,1.43675E+12,98893,1.43675E+12,2015-07-12T23:53:09.027Z,EsyDdwyKhz,2015-07-12T23:53:42.453Z
TRUE,TRUE,TRUE,10767.96603,1,9.184,1.43674E+12,98893,1.43674E+12,2015-07-12T23:35:43.830Z,FrxCZQZzuJ,2015-07-12T23:35:53.229Z
TRUE,TRUE,TRUE,6268.175192,10,15.777,1.43674E+12,98893,1.43674E+12,2015-07-12T23:47:55.849Z,Fti36BRLvk,2015-07-12T23:48:05.060Z
TRUE,TRUE,TRUE,9909.118236,20,9.98,1.43675E+12,98893,1.43675E+12,2015-07-12T23:59:52.188Z,Gm6FmGHbqA,2015-07-12T23:59:59.335Z
TRUE,TRUE,TRUE,2173.38754,1,9.101,1.43674E+12,19780,1.43674E+12,2015-07-12T22:58:24.894Z,HN2fi1SdCb,2015-07-12T22:58:36.670Z
TRUE,TRUE,TRUE,6550.506723,3,15.097,1.43674E+12,98893,1.43674E+12,2015-07-12T23:39:26.084Z,HlTE6YZwjv,2015-07-12T23:39:33.592Z
TRUE,TRUE,TRUE,26991.106,5,19.114,1.43675E+12,515908,1.43675E+12,2015-07-13T00:12:17.284Z,HmDHFIg14F,2015-07-13T00:12:24.753Z
TRUE,TRUE,TRUE,4837.262767,15,20.444,1.43675E+12,98893,1.43675E+12,2015-07-12T23:50:37.801Z,Hmkesjlb2p,2015-07-12T23:50:44.402Z
TRUE,TRUE,TRUE,12660.73486,8,7.811,1.43674E+12,98893,1.43674E+12,2015-07-12T23:45:15.262Z,HnQa4MAOmz,2015-07-12T23:45:20.981Z
TRUE,TRUE,TRUE,42945.80871,8,12.013,1.43675E+12,515908,1.43675E+12,2015-07-13T00:17:43.558Z,IQuqS5xkkz,2015-07-13T00:17:53.316Z
TRUE,TRUE,TRUE,2431.767888,1,8.134,1.43674E+12,19780,1.43674E+12,2015-07-12T22:57:37.825Z,JXl5TcBALD,2015-07-12T22:57:46.386Z
TRUE,TRUE,TRUE,37384.63768,14,13.8,1.43675E+12,515908,1.43675E+12,2015-07-13T00:33:20.227Z,JfnrOa3gmN,2015-07-13T00:33:28.664Z
TRUE,TRUE,TRUE,9282.241412,5,10.654,1.43674E+12,98893,1.43674E+12,2015-07-12T23:40:50.603Z,JzUdQ4UIgB,2015-07-12T23:40:58.617Z
TRUE,TRUE,TRUE,35287.8249,8,14.62,1.43675E+12,515908,1.43675E+12,2015-07-13T00:15:47.272Z,KCVTVQzg04,2015-07-13T00:15:52.786Z
TRUE,TRUE,TRUE,6226.734668,5,15.882,1.43674E+12,98893,1.43674E+12,2015-07-12T23:41:45.697Z,L5JErz92rr,2015-07-12T23:41:51.887Z
TRUE,TRUE,TRUE,8534.086987,20,11.588,1.43675E+12,98893,1.43675E+12,2015-07-13T00:00:07.416Z,LVR86CSJB3,2015-07-13T00:00:14.787Z
TRUE,TRUE,TRUE,32990.66377,15,15.638,1.43675E+12,515908,1.43675E+12,2015-07-13T00:25:48.522Z,Lkm5JJ2hMX,2015-07-13T00:26:01.259Z
TRUE,TRUE,TRUE,8483.572103,3,11.657,1.43674E+12,98893,1.43674E+12,2015-07-12T23:37:51.274Z,Lq6FSUU1D0,2015-07-12T23:37:58.549Z
TRUE,TRUE,TRUE,5409.013838,3,18.283,1.43674E+12,98893,1.43674E+12,2015-07-12T23:38:11.736Z,N2DWhVUUKg,2015-07-12T23:38:18.667Z
TRUE,TRUE,TRUE,5101.521795,1,19.385,1.43674E+12,98893,1.43674E+12,2015-07-12T23:36:51.009Z,NKbeMEYQxS,2015-07-12T23:36:59.016Z
TRUE,TRUE,TRUE,37379.2204,5,13.802,1.43675E+12,515908,1.43675E+12,2015-07-13T00:12:02.622Z,NRr80f3Ap8,2015-07-13T00:12:13.269Z
